file,rows,columns,column_names,purpose
taxonomy/shot-type.csv,13,15,id|label|abbrev|aliases|category|scope|field|parent|text|hands_forward|accepts|local_status|note|provenance|source_key,"What the shot is for — relational, subjective, coverage."
taxonomy/transitions.csv,13,15,id|label|abbrev|aliases|category|scope|field|parent|text|hands_forward|accepts|local_status|note|provenance|source_key,How one shot joins the next.
westwyrd/boundaries.csv,11,5,order|boundary|whose_job_it_is|layer|origin,"What a valid file does not establish, and whose job each of those is."
westwyrd/eras.csv,5,9,era|period|medium|seam_mechanism|state_cleared|clearance_is_in_band|joint_inspectable_by|failure_when_botched|source_note,"The five eras of the seam — the rationale table, with what each era could inspect at the joint."
westwyrd/evidence-fields.csv,8,5,order|field|source|definition|shot_grammar_note,"The E-layer record, and the one field this grammar proposes adding to it."
westwyrd/family.csv,3,9,member|extension|magic|revision|status|scope|relationship|note|source,"The .syn single-work object, the H.SYN.EMA compound container, and this grammar — scope and relationship of each."
westwyrd/layers.csv,5,7,letter|layer|track|role|carries|shot_grammar_lives_here|source,"H.SYN.EMA's five layers, their tracks, and which of them this grammar touches."
westwyrd/pins.csv,9,8,pin|code|measured_on|method|tolerance_unit|default_tolerance_milli|breaks_first_on|honest_limit,"The eight pins that decompose drift, each with a measurement method, a tolerance in thousandths, and its honest limit."
westwyrd/seam-classes.csv,8,10,code|label|unit|forces_intra|intra_condition|delta_allowed|pins_asserted|prior_era_counterpart|definition|refuses_when,The seven seam classes and how each maps onto the encoder's intra-versus-predicted decision.
westwyrd/unit-scopes.csv,17,7,scope|unit_kind|field|taxonomy_file|dirties|definition|why_this_scope,"The shot vector by coding unit — what an SPS may fix, an I-Node may say, and a P-Node delta may contain."
